Date mutation,Valeur fonciere,Code postal,Commune,Type local,Surface reelle bati,prix_m2
19/01/2024,1700000.0,01560,SAINT-TRIVIER-DE-COURTES,Maison,184.0,9239.130434782608
06/02/2024,150000.0,01350,ANGLEFORT,Maison,50.0,3000.0
25/01/2024,77000.0,01250,HAUTECOURT-ROMANECHE,Maison,135.0,570.3703703703703
05/02/2024,2550000.0,01300,MAGNIEU,Maison,150.0,17000.0
22/01/2024,1548400.0,01000,SAINT-DENIS-LES-BOURG,Maison,81.0,19116.04938271605
24/01/2024,660960.0,01480,CHALEINS,Maison,140.0,4721.142857142857
24/01/2024,660960.0,01480,CHALEINS,Maison,140.0,4721.142857142857
29/02/2024,101230.0,01560,CURCIAT-DONGALON,Maison,127.0,797.0866141732283
29/02/2024,300000.0,01130,NANTUA,Appartement,43.0,6976.7441860465115
14/03/2024,1500000.0,01560,CORMOZ,Maison,76.0,19736.842105263157
29/03/2024,600000.0,01330,VILLARS-LES-DOMBES,Maison,123.0,4878.048780487805
04/04/2024,1450000.0,01510,TALISSIEU,Appartement,130.0,11153.846153846154
04/04/2024,1450000.0,01510,TALISSIEU,Maison,100.0,14500.0
04/04/2024,1450000.0,01510,TALISSIEU,Maison,100.0,14500.0
04/04/2024,1450000.0,01510,TALISSIEU,Maison,100.0,14500.0
04/04/2024,1450000.0,01510,TALISSIEU,Appartement,120.0,12083.333333333334
04/04/2024,1450000.0,01510,TALISSIEU,Maison,100.0,14500.0
16/04/2024,1000000.0,01250,HAUTECOURT-ROMANECHE,Maison,59.0,16949.15254237288
03/05/2024,150000.0,01230,SAINT-RAMBERT-EN-BUGEY,Appartement,94.0,1595.7446808510638
03/05/2024,500000.0,01230,TENAY,Maison,60.0,8333.333333333334
24/05/2024,100000.0,01150,LAGNIEU,Maison,25.0,4000.0
28/05/2024,78800.0,01240,LA CHAPELLE DU CHATELARD,Maison,96.0,820.8333333333334
31/05/2024,200000.0,01360,LOYETTES,Maison,120.0,1666.6666666666667
14/06/2024,626300.0,01560,LESCHEROUX,Maison,67.0,9347.76119402985
18/06/2024,2000000.0,01560,CURCIAT-DONGALON,Maison,122.0,16393.44262295082
29/05/2024,1500000.0,01000,BOURG-EN-BRESSE,Appartement,104.0,14423.076923076924
26/06/2024,50000.0,01310,POLLIAT,Maison,64.0,781.25
09/07/2024,144000.0,01340,SAINT-DIDIER-D AUSSIAT,Maison,157.0,917.1974522292994
23/07/2024,500000.0,01140,THOISSEY,Appartement,117.0,4273.504273504273
25/07/2024,100000.0,01170,GEX,Maison,180.0,555.5555555555555
09/09/2024,95000.0,01160,PONT-D AIN,Maison,24.0,3958.3333333333335
18/09/2024,919620.0,01500,AMBERIEU-EN-BUGEY,Maison,94.0,9783.191489361701
26/01/2024,766700.0,01160,SAINT-MARTIN-DU-MONT,Maison,222.0,3453.6036036036035
05/11/2024,300000.0,01280,PREVESSIN-MOENS,Appartement,93.0,3225.8064516129034
13/11/2024,800000.0,01250,JOURNANS,Maison,57.0,14035.087719298246
14/11/2024,700000.0,01150,SAULT-BRENAZ,Maison,64.0,10937.5
05/12/2024,100000.0,01000,BOURG-EN-BRESSE,Appartement,90.0,1111.111111111111
05/12/2024,100000.0,01000,BOURG-EN-BRESSE,Appartement,78.0,1282.051282051282
23/12/2024,700000.0,01110,PLATEAU D'HAUTEVILLE,Maison,62.0,11290.322580645161
23/12/2024,700000.0,01110,PLATEAU D'HAUTEVILLE,Appartement,53.0,13207.547169811322
23/12/2024,700000.0,01110,PLATEAU D'HAUTEVILLE,Appartement,36.0,19444.444444444445
30/12/2024,440000.0,01210,FERNEY-VOLTAIRE,Appartement,96.0,4583.333333333333
24/12/2024,1239500.0,01120,PIZAY,Maison,102.0,12151.960784313726
20/01/2024,50000.0,01480,JASSANS-RIOTTIER,Maison,85.0,588.2352941176471
19/11/2024,510000.0,01560,CURCIAT-DONGALON,Maison,77.0,6623.376623376624
12/01/2024,1400000.0,02140,HARY,Maison,140.0,10000.0
12/01/2024,1400000.0,02140,HARY,Maison,140.0,10000.0
05/01/2024,1600000.0,02550,ORIGNY-EN-THIERACHE,Maison,182.0,8791.208791208792
29/01/2024,2000000.0,02250,MARCY SOUS MARLE,Maison,126.0,15873.015873015873
10/01/2024,200000.0,02400,CHATEAU THIERRY,Appartement,73.0,2739.72602739726
10/01/2024,200000.0,02400,CHATEAU THIERRY,Appartement,31.0,6451.612903225807
25/01/2024,1300000.0,02270,MORTIERS,Maison,82.0,15853.658536585366
25/01/2024,1150000.0,02140,ROGNY,Maison,84.0,13690.47619047619
31/01/2024,1130000.0,02000,LAON,Maison,60.0,18833.333333333332
07/02/2024,4000000.0,02100,LESDINS,Maison,280.0,14285.714285714286
09/02/2024,100000.0,02490,VERMAND,Maison,87.0,1149.4252873563219
17/02/2024,3750000.0,02130,BEUVARDES,Maison,207.0,18115.942028985508
17/02/2024,3750000.0,02130,BEUVARDES,Maison,207.0,18115.942028985508
19/02/2024,1031250.0,02120,GUISE,Maison,53.0,19457.54716981132
19/02/2024,875000.0,02110,BOHAIN-EN-VERMANDOIS,Maison,93.0,9408.602150537634
19/02/2024,1000000.0,02850,BARZY SUR MARNE,Maison,65.0,15384.615384615385
17/02/2024,2000000.0,02250,MARLE,Maison,110.0,18181.81818181818
24/02/2024,750000.0,02140,SAINT PIERRE LES FRANQUEVILLE,Maison,135.0,5555.555555555556
24/02/2024,750000.0,02140,SAINT PIERRE LES FRANQUEVILLE,Maison,135.0,5555.555555555556
14/02/2024,700000.0,02120,GUISE,Maison,90.0,7777.777777777777
22/02/2024,1500000.0,02630,WASSIGNY,Appartement,80.0,18750.0
12/03/2024,700000.0,02110,BOHAIN-EN-VERMANDOIS,Maison,67.0,10447.76119402985
05/03/2024,550000.0,02490,VERMAND,Maison,32.0,17187.5
23/02/2024,1000000.0,02200,BELLEU,Maison,80.0,12500.0
21/03/2024,1818668.0,02790,SERAUCOURT LE GRAND,Maison,100.0,18186.68
21/03/2024,1000000.0,02120,LESQUIELLES SAINT GERMAIN,Maison,56.0,17857.14285714286
03/04/2024,500000.0,02700,TERGNIER,Maison,128.0,3906.25
10/04/2024,1235000.0,02420,MAGNY LA FOSSE,Maison,200.0,6175.0
12/04/2024,1000000.0,02270,MONCEAU LE NEUF FAUCOUZY,Maison,144.0,6944.444444444444
02/04/2024,1000000.0,02120,LESQUIELLES SAINT GERMAIN,Maison,62.0,16129.032258064517
08/04/2024,2100000.0,02120,MONCEAU SUR OISE,Maison,135.0,15555.555555555555
08/04/2024,800000.0,02570,ESSISES,Maison,94.0,8510.63829787234
19/04/2024,1200000.0,02340,MONTCORNET,Maison,85.0,14117.64705882353
19/04/2024,1500000.0,02400,EPAUX BEZU,Maison,90.0,16666.666666666668
28/05/2024,1100000.0,02120,MACQUIGNY,Maison,62.0,17741.935483870966
21/05/2024,1500000.0,02820,ST ERME OUTRE ET RAMECOURT,Maison,115.0,13043.478260869566
03/06/2024,1500000.0,02310,BEZU LE GUERY,Maison,80.0,18750.0
24/05/2024,1000000.0,02500,HIRSON,Maison,108.0,9259.25925925926
30/04/2024,1900000.0,02500,HIRSON,Maison,110.0,17272.727272727272
10/06/2024,2500000.0,02800,LA FERE,Maison,174.0,14367.816091954022
01/07/2024,2410000.0,02480,JUSSY,Maison,123.0,19593.49593495935
03/07/2024,1200000.0,02700,TERGNIER,Maison,76.0,15789.473684210527
27/06/2024,940000.0,02600,LAVERSINE,Maison,109.0,8623.853211009175
28/06/2024,45000.0,02360,CHERY LES ROZOY,Maison,85.0,529.4117647058823
01/07/2024,700000.0,02310,PAVANT,Maison,101.0,6930.693069306931
03/07/2024,1200000.0,02500,HIRSON,Maison,93.0,12903.225806451614
19/07/2024,1900000.0,02140,VERVINS,Maison,127.0,14960.629921259842
